,week,road_team,home_team,road_pts,home_pts,final,winner
0,1,ARI,SF,0,0,False,
1,1,CHI,DET,0,0,False,
2,1,CLE,BAL,0,0,False,
3,1,DAL,LAR,0,0,False,
4,1,GB,MIN,0,0,False,
5,1,HOU,KC,0,0,False,
6,1,IND,JAX,0,0,False,
7,1,LV,CAR,0,0,False,
8,1,LAC,CIN,0,0,False,
9,1,MIA,NE,0,0,False,
10,1,NYJ,BUF,0,0,False,
11,1,PHI,WSH,0,0,False,
12,1,PIT,NYG,0,0,False,
13,1,SEA,ATL,0,0,False,
14,1,TB,NO,0,0,False,
15,1,TEN,DEN,0,0,False,
16,2,ATL,DAL,0,0,False,
17,2,BAL,HOU,0,0,False,
18,2,BUF,MIA,0,0,False,
19,2,CAR,TB,0,0,False,
20,2,CIN,CLE,0,0,False,
21,2,DEN,PIT,0,0,False,
22,2,DET,GB,0,0,False,
23,2,JAX,TEN,0,0,False,
24,2,KC,LAC,0,0,False,
25,2,LAR,PHI,0,0,False,
26,2,MIN,IND,0,0,False,
27,2,NE,SEA,0,0,False,
28,2,NO,LV,0,0,False,
29,2,NYG,CHI,0,0,False,
30,2,SF,NYJ,0,0,False,
31,2,WSH,ARI,0,0,False,
32,3,CAR,LAC,0,0,False,
33,3,CHI,ATL,0,0,False,
34,3,CIN,PHI,0,0,False,
35,3,DAL,SEA,0,0,False,
36,3,DET,ARI,0,0,False,
37,3,GB,NO,0,0,False,
38,3,HOU,PIT,0,0,False,
39,3,KC,BAL,0,0,False,
40,3,LV,NE,0,0,False,
41,3,LAR,BUF,0,0,False,
42,3,MIA,JAX,0,0,False,
43,3,NYJ,IND,0,0,False,
44,3,SF,NYG,0,0,False,
45,3,TB,DEN,0,0,False,
46,3,TEN,MIN,0,0,False,
47,3,WSH,CLE,0,0,False,
48,4,ARI,CAR,0,0,False,
49,4,ATL,GB,0,0,False,
50,4,BAL,WSH,0,0,False,
51,4,BUF,LV,0,0,False,
52,4,CLE,DAL,0,0,False,
53,4,DEN,NYJ,0,0,False,
54,4,IND,CHI,0,0,False,
55,4,JAX,CIN,0,0,False,
56,4,LAC,TB,0,0,False,
57,4,MIN,HOU,0,0,False,
58,4,NE,KC,0,0,False,
59,4,NO,DET,0,0,False,
60,4,NYG,LAR,0,0,False,
61,4,PHI,SF,0,0,False,
62,4,PIT,TEN,0,0,False,
63,4,SEA,MIA,0,0,False,
64,5,ARI,NYJ,0,0,False,
65,5,BUF,TEN,0,0,False,
66,5,CAR,ATL,0,0,False,
67,5,CIN,BAL,0,0,False,
68,5,DEN,NE,0,0,False,
69,5,IND,CLE,0,0,False,
70,5,JAX,HOU,0,0,False,
71,5,LV,KC,0,0,False,
72,5,LAR,WSH,0,0,False,
73,5,LAC,NO,0,0,False,
74,5,MIA,SF,0,0,False,
75,5,MIN,SEA,0,0,False,
76,5,NYG,DAL,0,0,False,
77,5,PHI,PIT,0,0,False,
78,5,TB,CHI,0,0,False,
79,6,ARI,DAL,0,0,False,
80,6,ATL,MIN,0,0,False,
81,6,BAL,PHI,0,0,False,
82,6,CHI,CAR,0,0,False,
83,6,CIN,IND,0,0,False,
84,6,CLE,PIT,0,0,False,
85,6,DET,JAX,0,0,False,
86,6,GB,TB,0,0,False,
87,6,HOU,TEN,0,0,False,
88,6,KC,BUF,0,0,False,
89,6,LAR,SF,0,0,False,
90,6,MIA,DEN,0,0,False,
91,6,NYJ,LAC,0,0,False,
92,6,WSH,NYG,0,0,False,
93,7,BUF,NYJ,0,0,False,
94,7,CAR,NO,0,0,False,
95,7,CHI,LAR,0,0,False,
96,7,CLE,CIN,0,0,False,
97,7,DAL,WSH,0,0,False,
98,7,DET,ATL,0,0,False,
99,7,GB,HOU,0,0,False,
100,7,KC,DEN,0,0,False,
101,7,LAC,MIA,0,0,False,
102,7,NYG,PHI,0,0,False,
103,7,PIT,BAL,0,0,False,
104,7,SF,NE,0,0,False,
105,7,SEA,ARI,0,0,False,
106,7,TB,LV,0,0,False,
107,8,ATL,CAR,0,0,False,
108,8,DAL,PHI,0,0,False,
109,8,IND,DET,0,0,False,
110,8,JAX,LAC,0,0,False,
111,8,LV,CLE,0,0,False,
112,8,LAR,MIA,0,0,False,
113,8,MIN,GB,0,0,False,
114,8,NE,BUF,0,0,False,
115,8,NO,CHI,0,0,False,
116,8,NYJ,KC,0,0,False,
117,8,SF,SEA,0,0,False,
118,8,TB,NYG,0,0,False,
119,8,TEN,CIN,0,0,False,
120,9,BAL,IND,0,0,False,
121,9,CAR,KC,0,0,False,
122,9,CHI,TEN,0,0,False,
123,9,DEN,ATL,0,0,False,
124,9,DET,MIN,0,0,False,
125,9,GB,SF,0,0,False,
126,9,HOU,JAX,0,0,False,
127,9,LV,LAC,0,0,False,
128,9,MIA,ARI,0,0,False,
129,9,NE,NYJ,0,0,False,
130,9,NO,TB,0,0,False,
131,9,NYG,WSH,0,0,False,
132,9,PIT,DAL,0,0,False,
133,9,SEA,BUF,0,0,False,
134,10,BAL,NE,0,0,False,
135,10,BUF,ARI,0,0,False,
