:%s/<Ctrl-V><Ctrl-M>/\r/g
game_id,week,road_team,home_team,game_date,game_time,road_pts,home_pts,final,winner
1,1,ARI,SF,2020-09-13,13:25,0,0,0,""
2,1,CHI,DET,2020-09-13,10:00,0,0,0,""
3,1,CLE,BAL,2020-09-13,10:00,0,0,0,""
4,1,DAL,LAR,2020-09-13,17:20,0,0,0,""
5,1,GB,MIN,2020-09-13,10:00,0,0,0,""
6,1,HOU,KC,2020-09-10,17:20,0,0,0,""
7,1,IND,JAX,2020-09-13,10:00,0,0,0,""
8,1,LV,CAR,2020-09-13,10:00,0,0,0,""
9,1,LAC,CIN,2020-09-13,13:05,0,0,0,""
10,1,MIA,NE,2020-09-13,10:00,0,0,0,""
11,1,NYJ,BUF,2020-09-13,10:00,0,0,0,""
12,1,PHI,WSH,2020-09-13,10:00,0,0,0,""
13,1,PIT,NYG,2020-09-14,16:10,0,0,0,""
14,1,SEA,ATL,2020-09-13,10:00,0,0,0,""
15,1,TB,NO,2020-09-13,13:25,0,0,0,""
16,1,TEN,DEN,2020-09-14,19:20,0,0,0,""
17,2,ATL,DAL,2000-01-01,23:59,0,0,0,""
18,2,BAL,HOU,2000-01-01,23:59,0,0,0,""
19,2,BUF,MIA,2000-01-01,23:59,0,0,0,""
20,2,CAR,TB,2000-01-01,23:59,0,0,0,""
21,2,CIN,CLE,2000-01-01,23:59,0,0,0,""
22,2,DEN,PIT,2000-01-01,23:59,0,0,0,""
23,2,DET,GB,2000-01-01,23:59,0,0,0,""
24,2,JAX,TEN,2000-01-01,23:59,0,0,0,""
25,2,KC,LAC,2000-01-01,23:59,0,0,0,""
26,2,LAR,PHI,2000-01-01,23:59,0,0,0,""
27,2,MIN,IND,2000-01-01,23:59,0,0,0,""
28,2,NE,SEA,2000-01-01,23:59,0,0,0,""
29,2,NO,LV,2000-01-01,23:59,0,0,0,""
30,2,NYG,CHI,2000-01-01,23:59,0,0,0,""
31,2,SF,NYJ,2000-01-01,23:59,0,0,0,""
32,2,WSH,ARI,2000-01-01,23:59,0,0,0,""
